theta_0,theta_1,distances,
0.00136211, 0.0409197, 76.6515, 
0.00185064, 0.0376109, 73.7053, 
0.00199666, 0.00780677, 214.376, 
0.00268427, 0.11039, 53.2508, 
0.00221103, 0.10884, 77.9494, 
0.00237512, 0.132979, 92.0875, 
0.000363318, 0.157071, 320.615, 
0.000979256, 0.179214, 302.234, 
0.000142181, 0.160874, 324.432, 
0.000129307, 0.108957, 323.857, 
0.00119065, 0.192578, 302.368, 
0.00259137, 0.133053, 67.9767, 
0.00272082, 0.123079, 51.3969, 
0.00176487, 0.173502, 252.156, 
0.000687796, 0.0889649, 293.198, 
0.00132787, 0.0124847, 168.052, 
0.00287542, 0.111551, 47.208, 
0.00271919, 0.132574, 64.7528, 
0.00291468, 0.0941206, 61.2777, 
0.000401005, 0.170061, 319.922, 
0.000976076, 0.0175842, 151.362, 
0.00287251, 0.0829514, 63.5654, 
0.00193597, 0.143764, 181.992, 
0.00249825, 0.153545, 115.737, 
0.00218023, 0.198742, 234.459, 
0.00270734, 0.0383457, 85.569, 
0.00113285, 0.019913, 135.944, 
0.00268584, 0.0719853, 63.4281, 
0.00152783, 0.166165, 262.991, 
0.00217359, 0.180248, 228.034, 
0.000434042, 0.187205, 319.537, 
0.000399064, 0.0556736, 298.417, 
0.00149843, 0.0619263, 65.4386, 
0.00222, 0.180356, 230.93, 
0.00232054, 0.0630414, 58.7126, 
0.000623595, 0.125639, 306.426, 
0.000705457, 0.158674, 312.016, 
0.00110572, 0.0851129, 214.802, 
0.00204348, 0.0953446, 53.4359, 
0.00297738, 0.0233765, 116.604, 
0.000863131, 0.0947067, 275.271, 
0.000163743, 0.071042, 321.508, 
0.00269927, 0.0825537, 58.8414, 
0.000666543, 0.0126503, 194.501, 
0.000626244, 0.177333, 314.187, 
0.00219754, 0.10389, 46.6235, 
0.00144047, 0.0827755, 125.614, 
0.00193401, 0.0694065, 51.1353, 
0.000783813, 0.0487123, 194.742, 
0.00253512, 0.179696, 168.409, 
0.000218098, 0.150677, 323.277, 
0.000422971, 0.198852, 321.48, 
0.00170973, 0.104547, 117.129, 
0.000444388, 0.0820321, 306.906, 
0.00114322, 0.120707, 266.869, 
0.00165063, 0.00633613, 232.541, 
0.00257303, 0.149414, 96.46, 
0.00255105, 0.119015, 48.0822, 
0.00104047, 0.0844441, 222.394, 
